,,,,,,,,,,,,,,,,,,,,,,,,,
PH-53-Position of Sanctioned Works (Divisional Works),,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,186185,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
SN,PROJECTID,Year of Sanction,Date of Sanction,Short Name of Work,Block Section Station,ALLOCATION,Current Cost,Expenditure upto date,Financial Progress,ENGG. REMARKS,IF UMBRELLA?,PARENT WORK,Section,Remarks of May-24,Remarks as on 14/06/24,Latest remarks of Work Progress as on 15/07/2024,,,,Latest Remarks as on 08/10/2024,Latest Remarks Civil,Latest Remarks Electrical,Latest Remarks S&T,,
Completed works pending for Closure,,,,,,,,,,,,,,,,Engg,Electrical,S&T,Finance,,,,,,
1,14.01.53.17.3.50.002,2017-2018,17/05/2017,SBC-Division - Provision of Low cost PF Shelters 'E' class stations 54 nos and 'F' class stations 29 nos Total 83,SEC: Stn: SBC,"Cap.,DF(1),RRSK",12106,11317,93.48,"SBC-SA sec work completed, FCC to be made.",N,,div,FCC under proces,,,,,,,,,,,
2,14.01.53.21.4.50.002,2021-2022,03/08/2021,"Bangalore Div: Pro. Repair/ Replacement of Counter Tables provided in the Booking offices, PRS locations & Parcel offices",SEC: Stn: SBC,DRF,6315,3210,50.83,LOA awarded vide No. 43498 of 19.10.2020. Agt No. 2021/0071 of 06.01.22 (Prestige Enterprises). Agt value Rs. 3399331/-. Work completed. FCC to be passed.,N,,div,FCC under proces,,,,,,,,,,,
Work in Progress,,,,,,,,,,,,,,,,,,,,,,,,,
3,14.01.53.19.6.50.001,2019-2020,19/02/2020,Provision of DG sets at important Block stations over SBC Division(37 stations),SEC: Stn: SBC,RRSK,24499,5511,22.49,"(i) Estimate Sanctioned (Dt:24.06.20) 
 (ii) Tender awarded (Dt:16.09.21) 
 (iii) Work in progress  
 (iv) TDC: (05/24) (Progress : 50%)
 (v) Latest status: PO for for 09 Nos of 62.5 KVA DG @ Rs. 5711- Skyline solutions, New Delhi.09 Nos DG -63 kVA installed. Fresh indents to be placed for 25 DG sets of 30KVA . Remaining work will be completed after receiving of 30KVA DG sets. Works portion awarded for 4280 LOA dt.9.9.20 M/s Ranganatha Swamy, Blore. (vi) Hindrance/Assistance : Nil
 CUML-5511",N,,div,In progress,"Indents were sent to HQ intially after sanction. Tendre was called from HQ/Stores. TC was discharged three times due to technical reasons. Demand was closed because the indent was more than 2 years old as on 13.07.2023.
Fresh indents are being placed with latest specifications of CPCB norms. Remaining Power supply work will be completed after receiving of 30KVA DG sets.",,,,,,,,,10000,
4,14.01.53.21.3.50.008,2021-2022,07/03/2022,"SBC Division : Provision of MEA at stations such as water taps, PF shelters, waiting hall, seats and toilets/urinals etc.",SEC: Stn: SBC,Cap.,23824,757,3.18,"(i) Estimate status : sanctioned, 28.06.2022, (ii) Tender status : To be called (iii) Work in progress/To be started: Work to be started (iv) TDC: (04/24) (Progress : 0%): (v) Latest status: Work sanctioned during Mar'22. DE under preparation, Work not yet awarded (vi) One RDSO shelter and 30 meter wall pending Hindrance/Assistance : Nil",Y,"SWR - Minimum essential amenities & facilities for Divyangjan at stations (other than telecom, lift & quick watering system) (Umbrella Work 2020-21)",div,In progress,Elec: 12 Lakhs LS sanction available. DE to be prepared. Tender to be called. TDC - 15.07.2024 ,,,,,,,,,0,
5,14.01.53.22.1.50.003,2022-2023,02/08/2022,Bangalore city Division - Provision for construction of OSOP sale outlets (Static & mobile) in SBC division : Total - 80 Stations,SEC: Stn: SBC,Cap.,63115,3625,5.74,"Work is recently sanctioned, DE sanctioned dtd. 06.04.2023, Work to be started.",Y,"SWR - Soft Upgrade at Stations (like provision of passenger amenities, cover over platform etc.) (Umbrella Work 2022-23)",div,In progress,,,,,,,,,,0,12517
