,,,,,,,,,,,,,,,,,,
Sr.DEN/EAST,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
SN,PROJECTID,Year of Sanction,Date of Sanction,Short Name of Work,Block Section Station,ALLOCATION, Cost,Expenditure upto date,Financial Progress in %,IF UMBRELLA?,PARENT WORK,Section,Remarks,Latest Remarks Civil 12.11.2024,Latest Remarks Electrical 12.11.2024,Latest Remarks S&T 12.11.2024,Latest Remarks S&T 12.11.2024,Latest Remarks Civil  as on 05.12.2024
,,,,,,,,,,,,,,,,,,
Completed works pending for Closure,,,,,,,,,,,,,,,,,,
1,14.01.53.12.4.50.003,2012-2013,,"Provision of auxillary transformer for extending supply to UTS at MWM, GDP, COL, OGM and CHU",SEC:SBC-JTJ Stn: SBC,DF(1),2250,2150,100.0,N,,east,No Records available,,To be discussed with Sr DEE TRD,,,
2,14.01.53.19.7.50.002,2019-2020,11/03/2020,"Somanayakanapatti~~Modification of OHE due to extension of platform at BSM(230 Mts), KGI(70 Mtrs) & SKPT(115 Mts)",SEC: Stn: SKPT,RRSK,4255,805,18.9,N,,"east, west",TDC for closure 31/12/2024,,TDC for completion (TRD): 31.12.2024,,,
3,14.01.53.21.3.50.006,2021-2022,14/07/2021,Provision of 2 Nos escalators at BWT PF No.3/4,SEC: Stn: BWT,DF(1),22082,8904,40.3,Y,Provision of escalators on Railway platforms over Indian Railways (with average footfall of more than 25000 per day) (PB#1120/2020-21/NR),east,Electrical FCC Pending ,Engg completed FCC cleared,Final invoice to submit. Final bill under process. Clubbed with 4 other works. TDC: 30.04.2025,,,Engg completed FCC cleared
4,14.01.53.21.3.50.007,2021-2022,07/03/2022,SBC - JTJ Sec - Proposed High level Platform for a length of 450mtrs (Road 4) at MAR station,SEC: Stn: MAR,Cap.,25572,25572,100,Y,"SWR - Minimum essential amenities & facilities for Divyangjan at stations (other than telecom, lift & quick watering system) (Umbrella Work 2020-21)",east,Electrical : Final Measurements under Progress,Engg completed. FCC cleared.,Work completed. Final bill pending due to clubbing with other works. TDC: 28.02.2025,,,Engg completed FCC cleared
5,14.01.53.21.3.50.019,2021-2022,31/03/2022 ,Maralahalli - Extension of Rail Level PF on both UP & DN line for a length of 150mtrs each at MZV station,SEC: Stn: MZV,Cap.,3885,0,100.00,Y,"SWR - Minimum essential amenities & facilities for Divyangjan at stations (other than telecom, lift & quick watering system) (Umbrella Work 2020-21)",north,CR to be drawn by 15.05.2024,Engg completed. FCC cleared.,Work completed.,,,Engg completed FCC cleared
6,14.01.53.21.3.50.017,2021-2022,31/03/2022,"Bangarapet - Marikuppam - Construction of Station building at OGM,COL & BEML stns and compound wall for 600mtrs at OGM",SEC:BWT-MKM Stn: BWT,Cap.,22688,21691,100.00,Y,"SWR - Minimum essential amenities & facilities for Divyangjan at stations (other than telecom, lift & quick watering system) (Umbrella Work 2020-21)",east,Electrical : Final bill to be raised,Engg completed. FCC cleared.,90% work completed. TDC for workcompletion: 15.12.2024. Work closure depends on clubbed work completion. TDC for closure:,,,"10% work completed,"
7,14.01.53.22.3.50.002,2022-2023,16/08/2022 ,Kuppam - Construction of RCC OHT With GLR 1 Lakh litre capacity each and Pump House at KPN,SEC: Stn: KPN,Cap.,10766,10155,94.32472599,Y,"SWR - Minimum essential amenities & facilities for Divyangjan at stations (other than telecom, lift, escalators & quick watering system) (Phase-2) (Umbrella Work 2022-23)",east,"Testing remaining. 
Electrical : Final bill to be raised",Engg completed. FCC cleared.,Work completed. Final bill to be cleared as it is linked to other works. TDC for closure:,,,Engg completed. FCC cleared. 
8,14.01.53.21.4.50.001,2021-2022,09/07/2021,WFD: Pro. Provision of Over Head Tank(OHT) of 1.00 Lakh litre capacity.,SEC: Stn: WFD,Cap.,5693,631,10.00,N,,east,Electrical pending,FOundation work completed. Column raising work under progress. TDC: 28.02.2025,LOA issued. TDC: 28.02.2025,,,FOundation work completed. Column raising work under progress. TDC: 28.02.2025
