Sr.DEN/NORTH,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
SN,PROJECTID,Year of Sanction,Date of Sanction,Short Name of Work,Block Section Station,ALLOCATION, Cost,Expenditure upto date,Financial Progress in %,IF UMBRELLA?,PARENT WORK,Section,Latest remarks as on 08/10/2024,Latest Remarks Civil 12.11.2024,Latest Remarks Electrical 12.11.2024,Latest Remarks S&T,Latest Remarks Civil 05.12.2024
,,,,,,,,,,,,,,,,,
Completed works pending for Closure,,,,,,,,,,,,,,,,,
1,14.01.53.12.4.50.011,2012-2013,,YPR :Proposed extension of hydrant line by 60 mtr on PF No. 6,SEC: Stn: YPR,DF(1),2100,2080,99.05,N,,north,File not Traceble,Final Bill passing by 30.11.2024,This work is not pertaining to electrical department.,,
2,14.01.53.15.4.50.018,2015-2016,27/05/2015 (DRM/SBC),"YPR - Pro. Improvements to circulating area and widening of PF - 1 by providing shelter, flooring etc.,",SEC: Stn: YPR,DF(1),9788,9788,100.00,N,,north,,PVC passed.FCC passed and SD realeased. Work closure pending because of Arbitration,work completed.,,Work closure pending because of Arbitration
3,14.01.53.18.3.50.018,2018-2019,09/07/2018 (GM/SWR),Dodbele~~DBL Station - Pro. Extension and Raising of PF,SEC: Stn: DBL,RRSK,17596,17596,100.00,Y,SWR - Provision of foot over bridges and/or high level platforms at stations as per requirement,north,,CBI Case ,work completed. Final bill to be raised.,,CBI Case 
4,14.01.53.18.3.50.039,2018-2019,05/10/2018 (GM/SWR),Proposed FOB at Bhairanayakanahalli Halt (BNKH) Station of SBC-TK Section (2T),SEC: Stn: BNKH,RRSK,34395,23682,68.85,Y,SWR - Provision of foot over bridges and/or high level platforms at stations as per requirement,north,,CBI Case ,work completed. Final bill to be raised.,,CBI Case 
5,14.01.53.18.3.50.042,2018-2019,05/10/2018 (GM/SWR),KYATSANDRA- Station - Pro. Extension of Platform,SEC: Stn: KIAT,RRSK,19502,19502,100.00,Y,SWR - Provision of foot over bridges and/or high level platforms at stations as per requirement,north,,CBI Case ,This work is not pertaining to electrical department.,,CBI Case 
6,14.01.53.18.3.50.045,2018-2019,05/10/2018 (GM/SWR),Proposed FOB at Dodbele (DBL) Station of SBC-TK Section (2T),SEC: Stn: DBL,RRSK,75177,68297,90.85,Y,SWR - Provision of foot over bridges and/or high level platforms at stations as per requirement,north,,CBI Case ,Work completed. FCC under process.,,CBI Case 
7,14.01.53.18.3.50.047,2018-2019,05/10/2018 (GM/SWR),Nidvanda Station - Pro. Extension and raising of PF,SEC: Stn: NDV,RRSK,28544,17403,60.97,Y,SWR - Provision of foot over bridges and/or high level platforms at stations as per requirement,north,,CBI Case ,Work completed. Final bill to be raised.,,CBI Case 
8,14.01.53.18.3.50.048,2018-2019,05/10/2018 (GM/SWR),Hirehalli~~HHL Station - Pro. Extension of PF,SEC: Stn: HHL,RRSK,29648,21115,71.22,Y,SWR - Provision of foot over bridges and/or high level platforms at stations as per requirement,north,,CBI Case ,Work completed. Final bill to be raised.,,CBI Case 
