,,,,,,,,,,,,,,,,,,
PH-53-Position of Sanctioned Works (Sr.DEN/S/SBC) : SOUTH,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
SN,PROJECTID,Year of Sanction,Date of Sanction,Short Name of Work,Block Section Station,ALLOCATION,Current Cost,Expenditure upto date,Financial Progress in %,ENGG. REMARKS,IF UMBRELLA?,PARENT WORK,Section,Remarks of May-24,Remarks ,Latest Remarks Civil as on 10.12.2024,Latest Remarks Electrical as on 10.12.2024,Latest Remarks S&T as on 05.12.2024
,,,,,,,,,,,,,,,,,,
Completed works pending for Closure,,,,,,,,,,,,,,,,,,
1,14.01.53.13.4.50.010,2013- 2014,30/04/2013 (DRM/SBC),"YPR - SA Section - Provision of Rail level PF""s",SEC:YPR-SA Stn: YPR,DF(1),7729,6227,80.57,LOA No. B/W.496/4999 of 21.10.2014. Agt No. 180/SBC/14 of 19.11.14 (N. Paramasivam). Work completed. Final variation vetted and sanctioned. Rider AGt to be signed by agency for submitting FCC to accounts.,N,,South,Work Physically Completed ,"Rider Agreement to be signed by agency for submitting FCC to accounts. After passing of FCC, CR will be drawn and work will be closed.",TDC for passing FCC: 15.01.2025,N/A,
2,14.01.53.18.3.50.007,2018- 2019,09/07/2018 (GM/SWR),Proposed FOB at Karuvalli (KVLR) Station of SA-SBC Section (2T),SEC: Stn: KVLR,RRSK,24494,16229,66.26,"DE Sanctioned on 18.02.2019, LOA awarded vide No.496/19029 of 13.06.2019, combined with FOB at RYC, KMLM & MZU. Agt No. 148/SBC/2019 of 22.07.2019 (M/s Balaji Enterprises). Agt value Rs. 81781079/-. FOB work is completed, FCC to be drawn then CR to be drawn. TDC : May-24. 
 Elec : Tender called for 04 works (combined)(OT 19).
 LOA issued on 23.11.2019 -M/s Standard Ele Enterprises. Rs. 77.42 :Lakhs. Electrical works completed.",Y,SWR - Provision of foot over bridges and/or high level platforms at stations as per requirement,South,Work Physically Completed ,"FCC submitted to Sr DFM/SBC on 13.06.24. After passing of FCC, CR will be drawn and work will be closed.
Elec: Work completed. FCC to be passed. TDC - 31.08.2024.",FCC passed and PVC bill also claimed.  File handed over for CR drawal. TDC for CR drawl dependent upon Electrical feedback,Work completed. Final variation under process. Combined with 7 other works. work would be closed upon completing of latest work.,
3,14.01.53.18.3.50.040,2018- 2019,05/10/2018 (GM/SWR),Proposed FOB at Rayakottai (RYC) Station of SA-SBC Section (2T),SEC: Stn: RYC,RRSK,22361,22361,100,"DE Sanctioned on 18.02.2019, LOA awarded vide No.496/19029 of 13.06.2019, combined with FOB at KVLR, KMLM & MZU. Agt No. 148/SBC/2019 of 22.07.2019 (M/s Balaji Enterprises). Agt value Rs. 81781079/-. FOB work is completed, FCC to be drawn then CR to be drawn. TDC : May-24. 
 Elec : Tender called for 04 works (combined)(OT 19). LOA issued on 23.11.2019 -M/s Standared Ele Enterprises. Rs. 77.42 :Lakhs. Electrical works completed.",Y,SWR - Provision of foot over bridges and/or high level platforms at stations as per requirement,South,Work Physically Completed ,"FCC submitted to Sr DFM/SBC on 13.06.24. After passing of FCC, CR will be drawn and work will be closed.
Elec: Work completed. FCC to be passed. TDC - 31.08.2024.",FCC passed and PVC bill also claimed.  File handed over for CR drawal. TDC for CR drawl dependent upon Electrical feedback,Work completed. Final variation under process. Combined with 7 other works. work would be closed upon completing of latest work.,
4,14.01.53.18.3.50.046,2018- 2019,05/10/2018 (Gm/SWR),Proposed FOB at Kelamangalam (KMLM) Station of SA-SBC Section (2T),SEC: Stn: KMLM,RRSK,20334,15520,76.33,"DE Sanctioned on 18.02.2019, LOA awarded vide No.496/19029 of 13.06.2019, combined with FOB at RYC, KVLR & MZU. Agt No. 148/SBC/2019 of 22.07.2019 (M/s Balaji Enterprises). Agt value Rs. 81781079/-. FOB work is completed, FCC to be drawn then CR to be drawn. TDC : May-24.  
 ELECTRICAL Tender called for 04 works (combined)(OT 19). LOA issued on 23.11.2019 -M/s Standared Ele Enterprises. Rs. 77.42 Lakhs. Electrical works completed.  
 Work completed & CR to be drawn.",Y,SWR - Provision of foot over bridges and/or high level platforms at stations as per requirement,South,Work Physically Completed ,"FCC submitted to Sr DFM/SBC on 13.06.24. After passing of FCC, CR will be drawn and work will be closed.
Elec: Work completed. FCC to be passed. TDC - 31.08.2024.",FCC passed and PVC bill also claimed.  File handed over for CR drawal. TDC for CR drawl dependent upon Electrical feedback,Work completed. Final variation under process. Combined with 7 other works. work would be closed upon completing of latest work.,
5,14.01.53.18.3.50.053,2018- 2019,05/10/2018 (Gm/SWR),Proposed FOB at Marandahalli (MZU) Station of SA-SBC Section (2T),SEC: Stn: MZU,RRSK,20334,9393,46.19,"DE Sanctioned on 18.02.2019, LOA awarded vide No.496/19029 of 13.06.2019, combined with FOB at RYC, KVLR & KMLM. Agt No. 148/SBC/2019 of 22.07.2019 (M/s Balaji Enterprises). Agt value Rs. 81781079/-. FOB work is completed, FCC to be drawn then CR to be drawn. TDC : May-24.
 
 ELECTRICAL Tender called for 04 works (combined)(OT 19). LOA issued on 23.11.2019 -M/s Standared Ele Enterprises. Rs. 77.42 Lakhs. Electrical works completed.",Y,SWR - Provision of foot over bridges and/or high level platforms at stations as per requirement,South,Work Physically Completed ,"FCC submitted to Sr DFM/SBC on 13.06.24. After passing of FCC, CR will be drawn and work will be closed.
Elec: Work completed. FCC to be passed. TDC - 31.08.2024.",FCC passed and PVC bill also claimed.  File handed over for CR drawal. TDC for CR drawl dependent upon Electrical feedback,Work completed. Final variation under process. Combined with 7 other works. work would be closed upon completing of latest work.,
6,14.01.53.21.1.50.001,2021- 2022,05/10/2018 (Gm/SWR),"Provision of Passenger Lifts 2 Nos. each at CPT,RMGM & HSRA stations over SBC Division",SEC: Stn:,DF(1),36898,2791,7.56,"(i) Estimate Sanctioned (Dt:15.06.22) (ii) Tender status : Engg : HSRA awarded, CPT & RMGM opening on 28.11.2022. (Ele) P.O issued for 1.3 Cr for 06 lifts. Omega Elevators, Ahmedabad. GAD & QAP for RITES approved. (iii) Work to be started (iv) TDC: (05/24) (Progress : 99%): (v) Latest status: (Ele) . Lift erected at CPT , RMGM, HSRA & EIG license obtained. Lifts opened for passenger service. 
 Elec: Stores bill of 10399 passed in July 2023",Y,Provision of lifts at stations (10 Nos) (Sugamya Bharat Abhiyan) (PB#1119/2020-21/NR),"west, south","Lift Work Completed at HSRA, CPT & RMGM ","HSRA-FCC passed and SD released. Electrical portion pending for CR drawal.

Elec: Work completed. All lifts comissioned. FCC to be passed. TDC - 31.07.24. ",FCC passed .  File handed over for CR drawal . TDC by 15.01.2025 for CR drawl,work completed. Final bill to be raised. PG to be submitted by firm for warranty period. TDC for raising Final Bill 31.12.2024,
7,14.01.53.21.3.50.003,2021- 2022,14/06/2021 (GM/SWR),Dharmapuri~~Provision of Passenger Lifts at Dharmapuri station (2 Nos),SEC: Stn: DPJ,Cap.,10860,10860,100,"(i) Estimate :sanctioned (Dt:_26.07.2021) (ii) Tender status : Elec: LOA issued 19.04.2022 , ENGG: Tender awarded (iii) Work completed, FCC to be prepared. (iv) TDC: 05/23 (v) Latest status: LOA issued on 19.04.2022,Engg Work completed in July-22. (vi) Hindrance/Assistance : Nil. 99% of work done. FCC Submitted to through IRWCMS. Elec: Lifts erected and commissioned. Electrical Licence obtained. Work Completed. 
 Work completed & CR to be drawn",Y,"SWR - Soft upgrades at stations (like improvement in station buildings, tall flags, steel benches, cover over platform etc) (Umbrella Work 2020-21)",South,Lift Work Completed at DPJ Station,"DPJ-FCC passed and SD released. 

Elec: Work completed. FCC to be passed. TDC - 31.07.24. ",FCC passed .  File handed over for CR drawal. TDC for CR drowal 31.12.2024,Work completed.FCC  passed. TDC for CR drowal 31.12.2024,
8,14.01.53.22.4.50.005,2022-2023,06/10/2022 (DRM/SBC),Bangalore city - Salem jn - Improvements to Passenger Amenities at 19 Stations in SBC-SA Section,SEC:SBC-SA Stn: SBC,RRSK,21231,9465,44.58,"DE sanctioned on 19.10.22, Tender awarded vide LOA No. 67271 of 06.12.2022, Agt No. 2023/0011 of 16.02.2023 (Senthil Thirukumaran), Agt value Rs. 16045698/-. Work completed. Final variation sanctioned, FCC to be prepared.",N,,South,Work Physically Completed ,"FCC submitted to Sr DFM/SBC on 11.06.24. After passing of FCC, CR will be drawn and work will be closed.",Final bill passed.CR drawal TDC : 31.12.2024,N/A,
