Sr.DEN/WEST,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
SN,PROJECTID,Year of Sanction,Date of Sanction ,Short Name of Work,Block Section Station,ALLOCATION,Cost,Expenditure upto date,Nov Forcast ,Financial Progress in %,"ENGG. REMARKS as per IRPSM Portal (May-24)
",IF UMBRELLA?,PARENT WORK,Section,Remarks of May-24,Remarks,Latest Remarks Civil as on 05.12.2024,Latest Remarks Electrical as on 05.12.2024,Latest Remarks S&T as on 05.12.2024
,,,,,,,,,,,,,,,,,,,
Completed works pending for Closure,,,,,,,,,,,,,,,,,,,
1,14.01.53.18.3.50.038,2018-2019,5/10/2018,Bangalore city~~Mysore~~Improvement to circulating area at MYA and CPT,SEC:SBC-MYS Stn: SBC,Cap.,3551,3551,,100,Work completed. FCC with accounts CR to be drawn after passing of final bill,Y,SWR - Soft upgrades improvements at stations,west,Work Physically Completed . CR to be drawn by 30.06.2024.,"Civil : Work Completed, CR to be drawn.
Elec: Work Forclosed as it is included in ABSS.","Civil : Work Completed, CR to be drawn. TDC: 31.12.2024
Elec: Work Forclosed as it is included in ABSS.",,
2,14.01.53.18.3.50.066,2018-2019,15/11/2018,Bangalore city~~SBC – Provision of Granite Flooring for high level Platform 9/10.,SEC: Stn: SBC,Cap.,21266,21266,,100,Work completed & Fina bill in progress. ( Agt No. 70/19),Y,SWR - Soft upgrades improvements at stations,west,Work Physically Completed. Final Bill under progress by June 2024,FCC unnder Process,FCC under Process. TDC for FCC 31.01.2025 ,This work is not pertaining to electrical department.,
3,14.01.53.18.4.50.009,2018-2019,18/12/2018,Mandya~~MYA - Pro. Provision of extension of platform 1 by 60 mtr length at MYS End.,SEC: Stn: MYA,Cap.,2023,2023,,100,"""""""(i) Estimate status : Sanctioned (Dt:_31.02.2019__) (ii) Tender status : Awarded (02.04.2019) (iii) Work in progress/To be started : To be started (iv) TDC: (05/24) (Progress : 0%) (v) Latest status: Contract terminated due to non performing agency. Again new tender awarded. Coping wall construction work completed final bill in progress. (vi) Hindrance/Assistance : Nil Sr.DEE/TRD/SBC:- Work has been awarded to M/s Excellent power technologies at a value of Rs.7,63,888.54/-.work kept on Hold",N,,west,Work Physically Completed. Remarks from Sr DEE TRD to be taken,FCC unnder Process,FCC unnder Process. TDC for FCC 31.01.2025 ,Work Closed.,
4,14.01.53.19.7.50.002,2019-2020,11/03/2020,"Somanayakanapatti~~Modification of OHE due to extension of platform at BSM(230 Mts), KGI(70 Mtrs) & SKPT(115 Mts)",SEC: Stn: SKPT,RRSK,4255,805,,18.92,"Sr.DEE/TRD/SBC:- 
 Estimate- Sanctioned at 0.42 Cr  Indent placed -.13 Cr( Total items indented 4 items, PO released for 4 items and material received for 1 item  Indent expenditure - 0 Cr. Tender called 0.26 Lac LOA awarded at - 0.25 lac
 Status of currency-Aug 2022 Addl fund required- 0 Lac LOA expenditure -0.08 Total expenditure - .08 Cr. 
 Tender: LOA awarded to Sri Venkateshwara contractors at Rs 25.4 lac CCI bill of 6.17 lac passed, CC II bill of Rs.1.82 Expenditure Jan-Mar (TRD",N,,"east, west",Remarks from Sr DEE TRD to be taken,Variation under Process by TRD/SBC,Variation under Process by TRD/SBC. ,Work completed. FCC to raised. (TRD) TDC: 15.01.2024,
5,14.01.53.21.1.50.001,2021-2022,26/05/2022,"Provision of Passenger Lifts 2 Nos. each at CPT,RMGM & HSRA stations over SBC Division",SEC: Stn:,DF(1),36898,36898,,100.00,"(i) Estimate Sanctioned (Dt:15.06.22) (ii) Tender status : Engg : HSRA awarded, CPT & RMGM opening on 28.11.2022. (Ele) P.O issued for 1.3 Cr for 06 lifts. Omega Elevators, Ahmedabad. GAD & QAP for RITES approved. (iii) Work to be started (iv) TDC: (05/24) (Progress : 99%): (v) Latest status: (Ele) . Lift erected at CPT , RMGM, HSRA & EIG license obtained. Lifts opened for passenger service.
 Elec: Stores bill of 10399 passed in July 2023",Y,Provision of lifts at stations (10 Nos) (Sugamya Bharat Abhiyan) (PB#1119/2020-21/NR),"west, south","Work Physically Completed FCC done .
 CR to be drawn  Remrks from Sr DEE G To be taken","LIft Commissioned, 
Elec: Final bill to be raised.","LIft Commissioned, 
Elec: Final bill to be raised. FCC to be cleared by 15.01.2025",Work completed. Final bill to be raised. BG to be submitted by firm for warranty period. FCC to be cleared by 15.01.2025,
6,14.01.53.21.1.50.002,2021-2022,26/05/2022,Provision of 2 Nos of escalators at SBC PF No.1 towards 3rd entry,SEC: Stn: SBC,DF(1),30468,18280,,60.00,(i) Estimate sanctioned (Dt:15.06.22) (ii) Tender status : PO issued @12212 on 17.02.2023.Ms Johnson Lifts (iii) Work to be started (iv) TDC: (05/24) (Progress : 50%): (v) Latest status: Erection of escalator 2 nos completed and testing completed. ACP work under progress from Engg side. (vi) Hindrance/Assistance : Nil Elec: Stores bill of 0.977 Cr passed in September.,Y,Provision of escalators on Railway platforms over Indian Railways (with average footfall of more than 25000 per day) (PB#1120/2020-21/NR),west,Work Physically Completed. TDC for completion of work 10.05.2024,"Engg work completed, 
Elec: final bill to be raised.","Engg work completed. Work is part of other sanctioned works which are pending for completion. Completion of other works is targeted by June 2025. 
",Work completed. Final bill to be passed by 31.12.2024,
7,14.01.53.21.3.50.001,2021-2022,02/06/2021,Mandya~~Provision of 2 Nos of escalators at MYA PF No.2/3,SEC: Stn: MYA,DF(1),22416,14134,,63.05,"(i) Estimate status : Sanctioned 29.07.2021 
  (ii) Tender status : Ele- LOA issued. 28.04.2022; Engg-04.05.22.  
  (iii)Work in progress 
  (iv) TDC: (05/24) (Progress : 90%)
  (v) Latest status: Final bill in progress. 
 Elec: Escalators erected & commissioned. EI certificate obtained. Awaiting Inauguration.",Y,Provision of escalators on Railway platforms over Indian Railways (with average footfall of more than 25000 per day) (PB#1120/2020-21/NR),west,Work Physically Completed. TDC for final bill submission to accounts: 30/05.2024,"Escalator  Commissioned, 
Elec: Final bill to be raised.","Escalator  Commissioned, 
FCC to be cleared by 31.12.2024",Work completed. Final bill to be raised.Combined with other works. Other works are targeted to be completed by June 2025 (KGI Escalators),
8,14.01.53.21.3.50.011,2021-2022,21/03/2022,"Bangalore city - Provision for covering of gaps on PF Shelters at PF No. 1,2&3, 4,5&6, 7&8, 9&10 at SBC",SEC: Stn: SBC,Cap.,9197,7357,,80.00,(i) Estimate status : Sanctioned (Dt:___) (ii) Tender status :awarded on 5/5/22 (iii) TDC: (05/24) (Progress : 80%): (v) Latest status: Work is in progress. TDC : 31.03.2024,Y,"SWR - Soft upgrades at stations (like improvement in station buildings, tall flags, steel benches, cover over platform etc) (Umbrella Work 2020-21)",west,Work outside parcel office is pending TDC 20.5.24 ,FCC unnder Process,Work is under progress. TDC for work completion: 31.01.2025,This work is not pertaining to electrical department.,
