Station code,STATION NAME,DIVISION,ZONE,Section,CMI,DEN,Sr.DEN,Categorisation,Earnings range,Passenger range,Passenger footfall ,Platforms,Number of Platforms,Platform Type,Parking ,Pay-and-Use
AEK,Anekal Road,SBC,SWR,SA Section,Abbas,South,Vikram galoliya,NSG-6,upto1crore,upto10Million,25064,"1, 2",PF-1 ,HL,,
AVT,Avatihalli,SBC,SWR,YNK-KQZ,Ghouse Khan,South,Vikram galoliya,HG-3,upto05Lakhs,upto01Lakhs,3818,1,1,RL,,
BAND,Banaswadi,SBC,SWR,YNK-KQZ,Ghouse Khan,South,Vikram galoliya,NSG-5,01to10crore,01to02Million,69152,"1, 2/3",3,HL,2/4W-1725 sqm.,
BAW,Chikbanavar,SBC,SWR,TK Section,Praveen,North,Harshit Gupta,NSG-5,01to10crore,01to02Million,125254,"1, 2/3, 4/5",5,HL,2/4W-525 sqm,
BEML,BEML Nagar H ALT,SBC,SWR,BWT Section,R Murali,East,Subham Sharma,HG-2,05to50Lakhs,01to03Lakhs,10371,1,1,HL,,
BFW,Byatrayanahalli,SBC,SWR,BWT Section,R Murali,East,Subham Sharma,HG-3,upto05Lakhs,upto01Lakhs,7092,"1, 2",2,HL,,
BGNR,B.G.NAGAR,SBC,SWR,NMGA-HAS,Chinmay,South,Vikram galoliya,NSG-6,upto1crore,upto10Million,19458,"1, 2",2,HL,,
BID,Bidadi,SBC,SWR,MYS Section,Shashidhar,West,Ruchika Sharma,NSG-5,01to10crore,01to02Million,126062,"1/2, 3/4",4,HL,,
BLRR,Belandur Road,SBC,SWR,BNC WFD Section,Sumanth,South,Vikram galoliya,HG-2,05to50Lakhs,01to03Lakhs,43468,1,1,HL,,
BNC,Bengaluru Cant.,SBC,SWR,BNC WFD Section,Sumanth,West,Ruchika Sharma,NSG-3,20to100crore,05to10Million,248016,"1, 1A, 2",3,HL,"2W-1058.25 sqm,4W-518 sqm",
