SN,PROJECTID,Year of Sanction,Date of sanction,Short Name of Work,Station,Block section Station,ALLOCATION,Current Cost,Expenditure upto date,Financial Progress,ENGG. REMARKS (as on 06.08.24),IF UB?,PARENT WORK,Section,Remarks as on 14/06/24
1,14.01.53.12.4.50.003,2012-2013,,"Provision of auxillary transformer for extending supply to UTS at MWM, GDP, COL, OGM and CHU","MWM, GDP, COL, OGM and CHU",SEC:SBC-JTJ Stn: SBC,DF(1),2250,2150,95.56,Work completed. CR sent to accounts for vetting. Updated on 08.04.2024,N,,east,Details regarding Executing agency not available as on date. Tracing the manufacturer and confirming Bill passing to close the work
2,14.01.53.12.4.50.011,2012-2013,,YPR :Proposed extension of hydrant line by 60 mtr on PF No. 6,YPR,SEC: Stn: YPR,DF(1),2100,2080,99.05,"work awarded vide agreement no 203/SBC/14 dated 31.12.2014 terminated on 01.02.2016 and final variation and bill submitted to accounts.
Updated on 07.05.24",N,,north,Final Bill passing by 30.11.2024
3,14.01.53.13.4.50.010,2013-2014,30/04/2013 (DRM/SBC),"YPR - SA Section - Provision of Rail level PF""s",Combined,SEC:YPR-SA Stn: YPR,DF(1),7729,6227,80.57,LOA No. B/W.496/4999 of 21.10.2014. Agt No. 180/SBC/14 of 19.11.14 (N. Paramasivam). Work completed. Final variation vetted and sanctioned. Rider AGt to be signed by agency for submitting FCC to accounts. Updated on 07.05.24,N,,South,TDC for passing FCC: 15.01.2025
4,14.01.53.15.4.50.018,2015-2016,27/05/2015 (DRM/SBC),"YPR - Pro. Improvements to circulating area and widening of PF - 1 by providing shelter, flooring etc.,",YPR,SEC: Stn: YPR,DF(1),9788,9788,100,"""work awarded vide agreement no 33/SBC/16 dated 04.02.2016. agreement value Rs-80,87,430.00. SAG approval for excess and savings in final variation is obtained on 15.05.2018 and submitted to finance for concurrence on 30.05.2018. Concurrence obtained on 10.06.2018.FCC Processed Vide FCC/VII/120 of 28.07.2020"" ARBTRATION CASE
Updated on 07.05.24",N,,north,PVC passed.FCC passed and SD realeased. Work closure pending because of Arbitration
5,14.01.53.17.3.50.002,2017-2018,17/05/2017,SBC-Division - Provision of Low cost PF Shelters 'E' class stations 54 nos and 'F' class stations 29 nos Total 83,SBC,SEC: Stn: SBC,"Cap.,DF(1),RRSK",12106,11317,93.48,"SBC-SA sec work completed, FCC to be made.
Updated on 07.05.24",N,,div,Wok completed. FCC under proces. TDC for CR drawl: Jan 2025
6,14.01.53.18.3.50.007,2018-2019,09/07/2018 (GM/SWR),Proposed FOB at Karuvalli (KVLR) Station of SA-SBC Section (2T),KVLR,SEC: Stn: KVLR,RRSK,24494,12851,52.47,"DE Sanctioned on 18.02.2019, LOA awarded vide No.496/19029 of 13.06.2019, combined with FOB at RYC, KMLM & MZU. Agt No. 148/SBC/2019 of 22.07.2019 (M/s Balaji Enterprises). Agt value Rs. 81781079/-. FCC is passed, Final PVC in progress. Once PVC is passed CR will be drawn and work will be processed for deletion from IRPSM. Elec : Tender called for 04 works (combined)(OT 19). LOA issued on 23.11.2019 -M/s Standard Ele Enterprises. Rs. 77.42 :Lakhs. Electrical works completed.
Updated on 05.09.2024",Y,SWR - Provision of foot over bridges and/or high level platforms at stations as per requirement,South,"FCC passed and PVC bill also claimed. File handed over for CR drawal. TDC for CR drawl dependent upon Electrical feedback. TDC for combined electrical work completion: March 2025, CR drawl TDC: May 2025"
7,14.01.53.18.3.50.018,2018-2019,09/07/2018 (GM/SWR),Dodbele~~DBL Station - Pro. Extension and Raising of PF,DBL,SEC: Stn: DBL,RRSK,17596,17596,100,work is in progress. ELECTRICAL Tender called for 04 works (combined)(OT 20). LOA issued on 23.11.2019 -M/s Standared Ele Enterprises. Rs. 79.97 Lakhs Work in progress. Updated on 07.05.24,Y,SWR - Provision of foot over bridges and/or high level platforms at stations as per requirement,north,Work Physically Completed agt. no.81/SBC/19 of 10.4.19. vigilance case.
8,14.01.53.18.3.50.038,2018-2019,5/10/18,Bangalore city~~Mysore~~Improvement to circulating area at MYA and CPT,"MYA,CPT",SEC:SBC-MYS Stn: SBC,Cap.,3551,0,0,"Work completed. FCC with accounts CR to be drawn after passing of final bill 
Updated on 07.05.2024
",Y,SWR - Soft upgrades improvements at stations,west,"Civil : Work Completed, CR to be drawn. TDC: 31.12.2024
Elec: Work Forclosed as it is included in ABSS."
9,14.01.53.18.3.50.039,2018-2019,05/10/2018 (GM/SWR),Proposed FOB at Bhairanayakanahalli Halt (BNKH) Station of SBC-TK Section (2T),BNKH,SEC: Stn: BNKH,RRSK,34395,23682,68.85,"(i) Estimate status : Sanctioned (Dt: 12.02.2019) (ii) Tender status : Awarded (Dt:29.04.19) (iii) Work in progress/To be started : in progress (iv) TDC: (05/24) (Progress : 60 %) Work is in progress. (v) Latest status: Engg : Fabrication and errection completed. Gang way launched. Elec : Tender called for 05 works (combined)(OT 20). LOA issued on 23.11.2019 -M/s Standared Ele Enterprises. Rs. 79.97 Lakhs. Electrical works completed. (vi) Hindrance/Assistance : work was held up due to
(vi) Hindrance/Assistance : work was held up due to Updated on 07.05.2024",Y,SWR - Provision of foot over bridges and/or high level platforms at stations as per requirement,north,work physically Completed Vigilance case. Agt. No.163/SBC/19 of 30.7.2019.
10,14.01.53.18.3.50.040,2018-2019,05/10/2018 (GM/SWR),Proposed FOB at Rayakottai (RYC) Station of SA-SBC Section (2T),RYC,SEC: Stn: RYC,RRSK,22361,22361,100,"DE Sanctioned on 18.02.2019, LOA awarded vide No.496/19029 of 13.06.2019, combined with FOB at KVLR, KMLM & MZU. Agt No. 148/SBC/2019 of 22.07.2019 (M/s Balaji Enterprises). Agt value Rs. 81781079/-. FCC is passed, Final PVC in progress. Once PVC is passed CR will be drawn and work will be processed for deletion from IRPSM. Elec : Tender called for 04 works (combined)(OT 19). LOA issued on 23.11.2019 -M/s Standared Ele Enterprises. Rs. 77.42 :Lakhs. Electrical works completed.
Updated on : 05/09/2024",Y,SWR - Provision of foot over bridges and/or high level platforms at stations as per requirement,South,"FCC passed and PVC bill also claimed. File handed over for CR drawal. TDC for CR drawl dependent upon Electrical feedbackTDC for combined electrical work completion: March 2025, CR drawl TDC: May 2025"
11,14.01.53.18.3.50.042,2018-2019,05/10/2018 (GM/SWR),KYATSANDRA- Station - Pro. Extension of Platform,KIAT,SEC: Stn: KIAT,RRSK,19502,19502,100,"Work completed except FOB portion which was left for foundation. 
updated on : 13/05/2024",Y,SWR - Provision of foot over bridges and/or high level platforms at stations as per requirement,north,work physically Completed Vigilance case. Agt. No.84/SBC/19 of 29.4.2019.
12,14.01.53.18.3.50.043,2018-2019,05/10/2018 (GM/SWR),"Yelahanka~~Chikballapur~~Pro. Extension of PF at DHL, RNN and CSDR. IDT & CBP- Provision of , trolley path, fencing etc.",CBP,SEC:YNK-CBP Stn: YNK,RRSK,12769,0,0,"Work physically completed, FCC under process.
updated on : 13/05/2024",Y,SWR - Provision of foot over bridges and/or high level platforms at stations as per requirement,South,FCC pending. Would be subitted by 30.11.2024. Final bill to be passed by 15.12.2024 and Work closure by 31.12.2024
13,14.01.53.18.3.50.045,2018-2019,05/10/2018 (GM/SWR),Proposed FOB at Dodbele (DBL) Station of SBC-TK Section (2T),DBL,SEC: Stn: DBL,RRSK,75177,68297,90.85,") Estimate status : Sanctioned (Dt: 12.02.2019) (ii) Tender status : Awarded (Dt:29.04.19) (iii) Work in progress/To be started : in progress (iv) TDC: (03/24) (Progress : 85%) (v) Latest status: Foundation completed, erection work is completed, concreting work is in progress. ELECTRICAL Tender called for 05 works (combined)(OT 20). LOA issued on 23.11.2019 -M/s Standared Ele Enterprises. Rs. 79.97 Lakhs. Electrical works completed. (vi) Hindrance/Assistance : Nil
updated on : 13/05/2024",Y,SWR - Provision of foot over bridges and/or high level platforms at stations as per requirement,north,work physically Completed Vigilance case. Agt. No.163/SBC/19 of 30.7.2019.
14,14.01.53.18.3.50.046,2018-2019,05/10/2018 (Gm/SWR),Proposed FOB at Kelamangalam (KMLM) Station of SA-SBC Section (2T),KMLM,SEC: Stn: KMLM,RRSK,20334,15520,76.33,"DE Sanctioned on 18.02.2019, LOA awarded vide No.496/19029 of 13.06.2019, combined with FOB at RYC, KVLR & MZU. Agt No. 148/SBC/2019 of 22.07.2019 (M/s Balaji Enterprises). Agt value Rs. 81781079/-. FOB work is completed, FCC to be drawn then CR to be drawn. TDC : May-24. 

ELECTRICAL Tender called for 04 works (combined)(OT 19). LOA issued on 23.11.2019 -M/s Standared Ele Enterprises. Rs. 77.42 Lakhs. Electrical works completed. 

Work completed & CR to be drawn.updated on : 05/09/2024",Y,SWR - Provision of foot over bridges and/or high level platforms at stations as per requirement,South,"FCC passed and PVC bill also claimed. File handed over for CR drawal. TDC for CR drawl dependent upon Electrical feedback.
Work completed. Final variation under process. Combined with 7 other works. work would be closed upon completing of latest work."
15,14.01.53.18.3.50.047,2018-2019,05/10/2018 (GM/SWR),Nidvanda Station - Pro. Extension and raising of PF,NDV,SEC: Stn: NDV,RRSK,28544,17403,60.97,(i) Estimate status : Sanctioned (Dt:_04.01.2019__) (ii) Tender status : Awarded (Dt: 14.03.19) (iii) Work in progress/To be started : In progress (iv) TDC: (June/24) (Progress : 124%) (v) Latest status: Work is in progress. FOB location which was left for FOB foundation. (vi) Hindrance/Assistance : FOB work. updated on : 13/05/2024,Y,SWR - Provision of foot over bridges and/or high level platforms at stations as per requirement,north,work physically Completed Vigilance case. Agt. No.84/SBC/19 of 29.4.2019.
16,14.01.53.18.3.50.048,2018-2019,05/10/2018 (GM/SWR),Hirehalli~~HHL Station - Pro. Extension of PF,HHL,SEC: Stn: HHL,RRSK,29648,21115,71.22,"i) Estimate status : Sanctioned (Dt:_04.01.2019__) (ii) Tender status : Awarded (Dt: 14.03.19) (iii) Work in progress/To be started : In progress (iv) TDC: (06/24) (Progress : 102%) (v) Latest status: Work Progress. FOB location which was left for FOB foundation. (vi) Hindrance/Assistance : FOB work.
updated on : 13/05/2024",Y,SWR - Provision of foot over bridges and/or high level platforms at stations as per requirement,north,work physically Completed Vigilance case. Agt. No.84/SBC/19 of 29.4.2019.
